row ID,row m/z,row retention time,20180626-Cfe-DMSO-14point784-14point788.mzML Peak area,20180626-Cfe-DMSO-14point584-14point587.mzML Peak area,20180626-Cfe-DMSO-14point-494-14point504.mzML Peak area,
180,858.4687001826067,14.0068,0,4.2683198952624984E7,0,
181,876.4699054561761,16.453183333333335,0,4.257585577362518E7,0,
182,203.17961765864442,17.684833333333334,0,0,9.755018471687494E7,
183,206.08148687911077,14.7164,0,0,7.351547396018746E7,
185,214.086343026007,11.1367,0,0,4.011643324362504E7,
188,220.06072825141672,19.015833333333333,0,0,1.0915214772374968E8,
189,220.09716033893045,17.523666666666667,0,0,6.2269457646250024E7,
190,225.10954248140118,8.0351,0,0,3.542999505031249E7,
191,226.18027482575127,18.2515,0,0,3.602081328125019E7,
192,239.12524624830328,7.432883333333334,0,0,3.777380370481248E7,
193,239.12523808618892,8.6395,0,0,3.3003408283500243E7,
195,245.12848601924964,9.041016666666668,0,0,7.169376885750023E7,
196,248.09190902701448,11.176883333333334,0,0,2.803934071262489E7,
197,251.18531714075382,8.3572,0,0,3.2599945515374824E7,
199,257.1359018604405,7.432883333333334,0,0,2.020809588787499E7,
201,271.2057996686128,23.1075,0,0,9.50877068749997E7,
203,276.14436899164076,17.20266666666667,0,0,3.080592253125004E7,
204,277.1913681805101,12.94945,0,0,3.591489479487508E7,
207,294.14504022263196,8.6395,0,0,2.438226347593762E7,
209,299.20060406456156,23.1075,0,0,2.5163240429999927E8,
212,305.1572205782948,6.441833333333333,0,0,7.132870985690625E7,
213,309.02380428802377,13.23075,0,0,1.688613054948746E8,
214,309.0873620844051,14.836649999999999,0,0,6.85974015023749E7,
215,309.2274593099484,9.805366666666666,0,0,5.202265552762506E7,
216,310.11473076795556,5.8,0,0,1.317259902276247E8,
218,311.02136361300916,13.23075,0,0,1.5607260095756233E8,
219,313.0708653900432,22.946833333333334,0,0,4.698748008187505E7,
221,325.1184693921256,7.8341666666666665,0,0,1.201280747447501E8,
222,325.11848563535216,13.4718,0,0,2.870204818551876E8,
225,326.1965346530783,16.280166666666666,0,0,3.957147109631264E7,
227,335.2219278689177,23.027333333333335,0,0,1.7450536533249968E8,
228,336.1668946762336,7.914599999999999,0,0,3.3338843065749973E7,
232,349.6832512812166,14.7164,0,0,3.959799239449995E7,
